,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2015,22.1240424907,NV.IND.TOTL.ZS,AFG,Afghanistan,South Asia,Low income,IDA
1,2016,10.4668076938,NV.IND.TOTL.ZS,AFG,Afghanistan,South Asia,Low income,IDA
2,2017,10.0518739969,NV.IND.TOTL.ZS,AFG,Afghanistan,South Asia,Low income,IDA
3,2018,13.3872469598,NV.IND.TOTL.ZS,AFG,Afghanistan,South Asia,Low income,IDA
4,2019,14.0581123698,NV.IND.TOTL.ZS,AFG,Afghanistan,South Asia,Low income,IDA
5,2020,12.4708906467,NV.IND.TOTL.ZS,AFG,Afghanistan,South Asia,Low income,IDA
6,2015,21.7636624841,NV.IND.TOTL.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
7,2016,21.1419432555,NV.IND.TOTL.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
8,2017,20.3583605689,NV.IND.TOTL.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
9,2018,21.2840304546,NV.IND.TOTL.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
10,2019,20.2359624889,NV.IND.TOTL.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
11,2020,19.7049994696,NV.IND.TOTL.ZS,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
12,2015,35.7260932621,NV.IND.TOTL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
13,2016,34.7013628015,NV.IND.TOTL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
14,2017,36.7875949609,NV.IND.TOTL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
15,2018,39.1388743564,NV.IND.TOTL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
16,2019,37.4392387032,NV.IND.TOTL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
17,2020,34.2486109236,NV.IND.TOTL.ZS,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
18,2015,41.9330926455,NV.IND.TOTL.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
19,2016,42.6435667787,NV.IND.TOTL.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
20,2017,42.1679535487,NV.IND.TOTL.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
21,2018,47.931541632,NV.IND.TOTL.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
22,2019,49.9867720653,NV.IND.TOTL.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
23,2020,44.7609032352,NV.IND.TOTL.ZS,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
24,2015,16.4579794795,NV.IND.TOTL.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
25,2016,17.9383723748,NV.IND.TOTL.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
26,2017,19.22069665,NV.IND.TOTL.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
27,2018,21.1147896504,NV.IND.TOTL.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
28,2019,21.5708778107,NV.IND.TOTL.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
29,2020,21.6611789586,NV.IND.TOTL.ZS,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
30,2015,23.153056135900002,NV.IND.TOTL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
31,2016,22.0541072112,NV.IND.TOTL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
32,2017,21.7821232193,NV.IND.TOTL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
33,2018,23.0589303203,NV.IND.TOTL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
34,2019,23.4098534223,NV.IND.TOTL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
35,2020,22.4694767111,NV.IND.TOTL.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
36,2015,25.7086994352,NV.IND.TOTL.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
37,2016,25.5771330396,NV.IND.TOTL.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
38,2017,25.8095323792,NV.IND.TOTL.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
39,2018,24.7565578476,NV.IND.TOTL.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
40,2019,24.2874002052,NV.IND.TOTL.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
41,2020,26.4138473692,NV.IND.TOTL.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
42,2015,23.6442055619,NV.IND.TOTL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
43,2016,22.2848726512,NV.IND.TOTL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
44,2017,23.461064668,NV.IND.TOTL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
45,2018,24.1589669797,NV.IND.TOTL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
46,2019,25.3824487371,NV.IND.TOTL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
47,2020,25.6880849465,NV.IND.TOTL.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
48,2015,25.1749132503,NV.IND.TOTL.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
49,2016,25.476804976,NV.IND.TOTL.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
50,2017,25.4094844427,NV.IND.TOTL.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
51,2018,25.4892122311,NV.IND.TOTL.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
